COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,133.72
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,127.76
57062,El Apante,BORB-08,MECANIZADA,RB84-5210,No,NO APLICADO,81.58648649,0,0,11.078238,0,Ene,132.53
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,138.32
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,146.08
16302,Sucuya,1630-2,MECANIZADA,CG02-163,Si,TRINEXAPAC ,119.1447534,11.33075492,92,12.88625904,66,Ene,129.27
57061,El Apante,BORB-07,MECANIZADA,CP89-2143,No,NO APLICADO,67.90797101,0,0,11.078238,0,Ene,151.58
57061,El Apante,BORB-07,MECANIZADA,CP89-2143,No,NO APLICADO,67.90797101,0,0,11.078238,0,Ene,136.2
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,143.89
57061,El Apante,BORB-07,MECANIZADA,CP89-2143,No,NO APLICADO,67.90797101,0,0,11.078238,0,Ene,157.66
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.078238,0,Ene,153.96
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,146.51
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.078238,0,Ene,152.72
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,154.61
57055,El Apante,BORB-01,MECANIZADA,RB86-7515,No,NO APLICADO,65.7089379,0,0,11.078238,0,Ene,148.71
22017,Buen Suceso N°03,BS-0209,MANUAL,CG02-163,Si,TRINEXAPAC ,82.18489117,12.77607094,55,10.97961867,0,Ene,141.02
93001,El Trapiche,TR-0101,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,110.7922781,12.45574171,63,11.37409599,14,Ene,142.89
