CICLO,ZONA,CF,FINCA,COD CAM,CAMPO,HA,VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
2122,3,22,Buen Suceso 3,22001,BS-0101, 19.29 , RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,23%,52.00,79.38,11.34,40.00,93.48,119.00,102.55
2122,3,22,Buen Suceso 3,22004,BS-0104, 28.59 , RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,46%,58.00,113.57,11.24,39.00,107.60,125.00,87.41
2122,3,22,Buen Suceso 3,22024,BS-0109, 3.00 , CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,21%,47.00,113.24,10.62,20.00,80.71,90.00,87.78
2122,3,22,Buen Suceso 3,22009,BS-0201, 40.51 , CG04-10295 ,1.00, 2.20 , Franco Arcilloso , Goteo ,24%,47.00,114.69,11.37,40.00,142.88,100.00,78.03
2122,3,22,Buen Suceso 3,22017,BS-0209, 31.24 , CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,52%,63.00,113.19,11.18,43.00,71.57,88.00,80.08
2122,3,57,El Apante,57001,A-01, 3.60 , CP88-1165 ,5.00, 2.20 , Franco Arcillo Arenoso , Goteo ,35%,29.00,103.11,11.87,19.00,69.66,60.00,69.43
2122,3,57,El Apante,57007,A-07, 12.13 , CP88-1165 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,34%,28.00,103.06,11.90,19.00,63.62,60.00,45.18
2122,3,57,El Apante,57025,B-02, 2.83 , CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,32%,33.00,105.15,11.93,23.00,62.41,50.00,63.17
2122,3,57,El Apante,57026,B-03, 4.20 , CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,60%,37.00,132.39,11.70,31.00,125.76,110.00,97.32
2122,3,57,El Apante,57029,B-06, 5.92 , CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,33%,34.00,138.72,11.74,32.00,82.36,90.00,91.80
2122,3,57,El Apante,57041,B-19, 0.85 , NA56-42 ,3.00, 2.20 , Franco Arenoso , Goteo ,55%,33.00,160.16,11.80,19.00,104.81,95.00,69.37
2122,3,57,El Apante,57042,B-20, 3.15 , RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,11%,22.00,92.61,10.52,19.00,58.28,55.00,53.89
2122,3,57,El Apante,57044,B-23, 9.86 , CP88-1165 ,5.00, 2.20 , Franco Arenoso , Goteo ,43%,31.00,118.51,11.83,19.00,70.66,60.00,50.85
2122,3,57,El Apante,57046,B-25, 8.92 , CP72-2086 ,5.00, 1.90 , Franco Arenoso , Goteo ,40%,34.00,143.54,11.74,32.00,106.97,105.00,84.72
2122,3,57,El Apante,57049,B-28, 3.04 , NA56-42 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,44%,31.00,103.04,11.80,20.00,77.93,70.00,62.03
2122,3,57,El Apante,57052,B-31, 5.81 , NA56-42 ,8.00, 2.40 , Franco Arcillo Arenoso , Goteo ,44%,32.00,103.08,11.24,2.00,65.09,60.00,68.04
2122,3,65,El Modelo,65012,MOD M-01, 26.04 , CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,35%,45.00,120.15,10.98,15.00,103.55,120.00,107.97
2122,3,65,El Modelo,65018,MOD M-07, 30.35 , CP88-1165 ,5.00, 2.20 , Franco Arenoso , Goteo ,29%,65.00,170.57,11.21,22.00,133.98,131.00,114.66
2122,3,65,El Modelo,65004,MOD-04, 31.08 , CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,23%,51.00,152.16,11.31,26.00,91.55,105.00,70.51
2122,3,72,La Chinampa,72001,CH-01, 16.36 , CP00-1101 ,5.00, 2.20 , Franco , Goteo ,29%,46.00,143.07,11.60,26.00,155.33,120.00,116.02
2122,3,72,La Chinampa,72003,CH-03, 12.83 , CP88-1165 ,3.00, 2.20 , Franco , Goteo ,44%,29.00,121.31,9.96,25.00,108.02,118.00,97.57
2122,3,72,La Chinampa,72005,CH-05, 3.00 , CP88-1165 ,5.00, 2.20 , Franco , Goteo ,26%,43.00,150.15,11.44,20.00,93.70,103.00,162.38
2122,3,72,La Chinampa,72007,CH-07, 47.98 , CP88-1165 ,5.00, 2.20 , Franco , Goteo ,25%,51.00,122.33,11.60,26.00,123.80,103.00,105.11
