COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,134.920
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,138.580
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,124.660
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,121.700
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,135.270
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,131.680
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,135.880
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,132.960
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,137.800
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,138.090
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,133.790
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,128.840
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,119.880
89001,Agrícola San Patricio,San Patricio-01,MECANIZADA,CP72-2086,No,NO APLICADO,114.2267048,0,0.00,11.63708087,16,Feb,135.600
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,131.680
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,133.470
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,137.210
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,141.970
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,139.820
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,144.190
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,121.850
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,139.960
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,137.630
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,138.200
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,121.820
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,138.360
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,139.110
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,118.730
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,134.860
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,124.080
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,121.230
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,143.700
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,136.110
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,132.440
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,130.560
55001,El Zapote,Z-01,MECANIZADA,CP72-2086,No,NO APLICADO,54.05016843,0,0.00,7.495069034,78,Feb,121.900
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,117.220
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,131.900
51046,Loma Alegre,L-01,MECANIZADA,CG00-102,No,NO APLICADO,116.7852507,0,0.00,12.13017751,41,Feb,138.760
88001,Zopilota,LZ-0101,MECANIZADA,CP72-2086,No,NO APLICADO,110.5718628,0,0.00,11.57133465,16,Feb,123.640
