VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,Dias Resiembra,KgN Ha,Edad Corte,Suspension,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CG04-10295 ,2.00, 1.50 , Franco Arenoso , Gravedad ,28%,32.00,151.08,10.45,43.00,87.22,100.00,80.45
 CG04-10295 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,17%,19.00,125.44,10.06,32.00,72.34,95.00,66.10
 CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,54%,37.00,125.86,9.66,3.00,94.56,80.00,83.75
 RB86-7515 ,2.00, 2.20 , Franco Arenoso , Goteo ,40%,39.00,172.66,10.75,33.00,109.81,120.00,96.27
 NA56-42 ,4.00, 2.20 , Franco Arenoso , Goteo ,49%,34.00,147.56,12.36,35.00,129.51,117.00,132.42
 RB86-7515 ,1.00, 1.65 , Arcilloso , Gravedad ,27%,37.00,109.56,12.00,44.00,93.52,90.00,99.13
 RB86-7515 ,1.00, 1.65 , Arcilloso , Gravedad ,6%,28.00,250.90,9.53,39.00,76.82,95.00,82.93
 RB86-7515 ,1.00, 2.20 , Arcilloso , Goteo ,24%,28.00,118.70,9.43,25.00,59.72,90.00,57.97
 CP89-2143 ,4.00, 2.20 , Franco Arenoso , Goteo ,39%,48.00,125.90,10.52,21.00,89.32,92.00,62.84
 CP72-2086 ,7.00, 1.90 , Franco Arcillo Arenoso , Goteo ,52%,53.00,125.59,13.61,111.00,81.18,75.00,61.13
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,36%,36.00,103.06,12.39,76.00,65.91,80.00,61.86
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,35%,34.00,103.05,12.39,74.00,65.23,102.00,100.12
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,39%,65.00,117.28,9.66,26.00,40.42,80.00,32.00
 CG02-163 ,3.00, 2.20 , Franco Arcilloso , Goteo ,44%,33.00,68.01,10.82,26.00,85.00,95.00,85.12
 CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,20%,25.00,150.10,10.72,35.00,116.44,130.00,95.71
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,23%,52.00,79.38,11.34,40.00,93.48,119.00,102.55
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,46%,58.00,113.57,11.24,39.00,107.60,125.00,87.41
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,21%,47.00,113.24,10.62,20.00,80.71,90.00,87.78
 CG04-10295 ,1.00, 2.20 , Franco Arcilloso , Goteo ,24%,47.00,114.69,11.37,40.00,142.88,100.00,78.03
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,52%,63.00,113.19,11.18,43.00,71.57,88.00,80.08
 CP88-1165 ,5.00, 2.20 , Franco Arcillo Arenoso , Goteo ,35%,29.00,103.11,11.87,19.00,69.66,60.00,69.43
 CP88-1165 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,34%,28.00,103.06,11.90,19.00,63.62,60.00,45.18
 CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,32%,33.00,105.15,11.93,23.00,62.41,50.00,63.17
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,60%,37.00,132.39,11.70,31.00,125.76,110.00,97.32
 CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,33%,34.00,138.72,11.74,32.00,82.36,90.00,91.80
 NA56-42 ,3.00, 2.20 , Franco Arenoso , Goteo ,55%,33.00,160.16,11.80,19.00,104.81,95.00,69.37
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,11%,22.00,92.61,10.52,19.00,58.28,55.00,53.89
 CP88-1165 ,5.00, 2.20 , Franco Arenoso , Goteo ,43%,31.00,118.51,11.83,19.00,70.66,60.00,50.85
 CP72-2086 ,5.00, 1.90 , Franco Arenoso , Goteo ,40%,34.00,143.54,11.74,32.00,106.97,105.00,84.72
 NA56-42 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,44%,31.00,103.04,11.80,20.00,77.93,70.00,62.03
 NA56-42 ,8.00, 2.40 , Franco Arcillo Arenoso , Goteo ,44%,32.00,103.08,11.24,2.00,65.09,60.00,68.04
 CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,35%,45.00,120.15,10.98,15.00,103.55,120.00,107.97
 CP88-1165 ,5.00, 2.20 , Franco Arenoso , Goteo ,29%,65.00,170.57,11.21,22.00,133.98,131.00,114.66
 CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,23%,51.00,152.16,11.31,26.00,91.55,105.00,70.51
 CP00-1101 ,5.00, 2.20 , Franco , Goteo ,29%,46.00,143.07,11.60,26.00,155.33,120.00,116.02
 CP88-1165 ,3.00, 2.20 , Franco , Goteo ,44%,29.00,121.31,9.96,25.00,108.02,118.00,97.57
 CP88-1165 ,5.00, 2.20 , Franco , Goteo ,26%,43.00,150.15,11.44,20.00,93.70,103.00,162.38
 CP88-1165 ,5.00, 2.20 , Franco , Goteo ,25%,51.00,122.33,11.60,26.00,123.80,103.00,105.11
 CP72-2086 ,3.00, 2.20 , Franco , Goteo ,29%,39.00,103.09,10.06,29.00,85.54,90.00,91.59
