CODLOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPOMAD,TCHREAL,ccMAD,DIASMAD,EDAD,DIASSUP,MESCORTE,CORE
16331,Sucuya,16331,MECANIZADA,RB845210,Si,GLIFOSATO ALEMAN,104.2387417,13.71850788,52,11.76857331,19,Dic,109.94
54019,Los Jicaros,GTE.09,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,107.4855275,13.02500935,41,11.4069691,19,Dic,115.78
54019,Los Jicaros,GTE.09,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,107.4855275,13.02500935,41,11.4069691,19,Dic,125.63
54019,Los Jicaros,GTE.09,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,107.4855275,13.02500935,41,11.4069691,19,Dic,115
60022,Vasconia,PRESA SEC02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,95.59280719,9.414934308,42,11.47271532,18,Dic,119.27
16331,Sucuya,16331,MECANIZADA,RB845210,Si,GLIFOSATO ALEMAN,104.2387417,13.71850788,52,11.76857331,19,Dic,118.81
54019,Los Jicaros,GTE.09,MECANIZADA,CP881165,Si,GLIFOSATO ALEMAN,107.4855275,13.02500935,41,11.4069691,19,Dic,111.68
16331,Sucuya,16331,MECANIZADA,RB845210,Si,GLIFOSATO ALEMAN,104.2387417,13.71850788,53,11.80144642,20,Dic,97.41
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,129.45
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,120.78
16331,Sucuya,16331,MECANIZADA,RB845210,Si,GLIFOSATO ALEMAN,104.2387417,13.71850788,53,11.80144642,20,Dic,104.46
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,134.15
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,133.11
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,109.93
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,133.98
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,128.95
60007,Vasconia,ANIMAS02,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,75.02749734,11.7290331,44,11.34122288,19,Dic,113.17
16331,Sucuya,16331,MECANIZADA,RB845210,Si,GLIFOSATO ALEMAN,104.2387417,13.71850788,53,11.80144642,20,Dic,108.9
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,133.45
54012,Los Jicaros,GTE06A,MECANIZADA,CP722086,Si,GLIFOSATO ALEMAN,87.56799293,12.79006133,51,11.60420776,20,Dic,130.15
54011,Los Jicaros,GTE.06,MECANIZADA,CP722086,Si,TRINEXAPAC ,91.33346154,13.24815659,60,11.60420776,20,Dic,134.4
