VARIEDAD,CLAS COR,DISTSUR,TIPO DE SUELO,RIEGO,% DESPO,KgN Ha,Edad Corte,BIOMETRIA CCOA,ESTIMADO CAMPO,TCH REAL
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.37,157.20,11.34,112.88,120.00,97.70
 CP72-2086 ,1.00, 2.20 , Franco Arcilloso , Gravedad ,0.25,120.81,11.83,108.82,100.00,106.19
 RB86-7515 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,0.34,115.44,11.28,120.15,138.00,107.93
 RB86-7515 ,1.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,0.20,116.60,11.05,115.69,125.00,111.02
 NA56-42 ,5.00, 1.65 , Franco Arcillo Arenoso , Gravedad ,0.21,121.58,11.77,74.87,65.00,46.21
 NA56-42 ,7.00, 1.90 , Arcilloso , Goteo ,0.35,125.12,10.75,97.59,100.00,79.66
 CG04-10295 ,2.00, 2.40 , Franco Arenoso , Goteo ,0.05,108.28,10.75,88.80,80.00,42.26
 NA56-42 ,9.00, 1.50 , Franco Arenoso , Gravedad ,0.17,150.88,9.93,81.78,100.00,80.65
 CP72-2086 ,3.00, 1.50 , Franco Arenoso , Gravedad ,0.31,127.12,9.89,89.63,110.00,85.12
 CG04-10295 ,2.00, 2.20 , Franco Arenoso , Goteo ,0.15,151.64,10.39,81.05,98.00,57.30
 NA56-42 ,9.00, 2.40 , Franco Arcilloso , Goteo ,0.50,150.10,10.39,94.51,105.00,70.36
 CG04-10295 ,2.00, 2.20 , Franco Arenoso , Goteo ,0.21,128.82,10.03,79.20,93.00,76.47
 CG04-10295 ,2.00, 2.20 , Franco Arcilloso , Goteo ,0.12,150.00,10.19,69.34,95.00,107.64
 CP73-1547 ,6.00, 1.40 , Franco Arenoso , Gravedad ,0.43,147.44,11.83,132.58,95.00,75.25
 NA56-42 ,2.00, 1.65 , Franco Arenoso , Gravedad ,0.59,144.55,10.32,133.56,100.00,81.41
 NA56-42 ,9.00, 1.50 , Franco Arenoso , Gravedad ,0.56,151.78,10.32,96.62,105.00,90.86
 CP89-2143 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.38,156.65,10.16,101.84,75.00,74.77
 NA56-42 ,9.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.23,132.33,10.12,116.73,115.00,103.69
 CP89-2143 ,2.00, 2.20 , Franco Arcilloso , Goteo ,0.37,115.84,11.31,97.62,97.00,82.80
 CG02-163 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.16,117.87,11.60,87.18,95.00,68.31
 CG04-10295 ,2.00, 2.20 , Franco Arenoso , Goteo ,0.21,147.22,11.90,105.05,105.00,80.14
 CP72-2086 ,4.00, 1.50 , Franco Arenoso , Gravedad ,0.46,139.62,11.93,90.95,113.00,86.99
 NA56-42 ,8.00, 1.50 , Franco Arcilloso , Gravedad ,0.50,270.32,10.82,79.16,87.00,76.06
 CG02-163 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.44,83.51,10.82,74.44,90.00,72.69
 CG04-10295 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.35,83.23,10.82,98.16,105.00,61.29
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.43,158.75,10.09,90.90,125.00,77.92
 CP00-1630 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.49,124.25,11.37,41.13,75.00,26.58
 CP72-2086 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.49,149.33,11.54,79.61,110.00,65.06
 CP72-2086 ,7.00, 1.90 , Franco Arenoso , Goteo ,0.45,136.36,10.98,89.95,90.00,62.44
 CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.46,173.88,10.36,95.15,92.00,96.34
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.38,126.24,11.37,105.64,115.00,101.49
 CP72-2086 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.38,161.31,10.32,90.84,95.00,73.57
 CP88-1165 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.32,119.13,11.87,92.42,85.00,38.22
 CP89-2143 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.28,134.39,10.36,66.84,80.00,56.76
 NA56-42 ,6.00, 2.40 , Franco Arenoso , Goteo ,0.42,118.94,10.36,67.62,90.00,83.01
 RB86-7515 ,1.00, 2.20 , Franco Arenoso , Goteo ,0.37,126.44,11.34,89.07,100.00,72.29
 CP72-2086 ,6.00, 1.90 , Franco Arenoso , Goteo ,0.43,162.11,10.36,98.39,110.00,76.33
 CP08-2256 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.30,127.76,10.36,70.68,93.00,88.64
 CG04-10295 ,2.00, 1.50 , Franco Arenoso , Gravedad ,0.28,151.08,10.45,87.22,100.00,80.45
 CG04-10295 ,1.00, 1.65 , Franco Arcilloso , Gravedad ,0.17,125.44,10.06,72.34,95.00,66.10
 CP72-2086 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.54,125.86,9.66,94.56,80.00,83.75
 RB86-7515 ,2.00, 2.20 , Franco Arenoso , Goteo ,0.40,172.66,10.75,109.81,120.00,96.27
 NA56-42 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.49,147.56,12.36,129.51,117.00,132.42
 RB86-7515 ,1.00, 1.65 , Arcilloso , Gravedad ,0.27,109.56,12.00,93.52,90.00,99.13
 RB86-7515 ,1.00, 1.65 , Arcilloso , Gravedad ,0.06,250.90,9.53,76.82,95.00,82.93
 RB86-7515 ,1.00, 2.20 , Arcilloso , Goteo ,0.24,118.70,9.43,59.72,90.00,57.97
 CP89-2143 ,4.00, 2.20 , Franco Arenoso , Goteo ,0.39,125.90,10.52,89.32,92.00,62.84
 CP72-2086 ,7.00, 1.90 , Franco Arcillo Arenoso , Goteo ,0.52,125.59,13.61,81.18,75.00,61.13
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.36,103.06,12.39,65.91,80.00,61.86
 CP72-2086 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.35,103.05,12.39,65.23,102.00,100.12
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.39,117.28,9.66,40.42,80.00,32.00
 CG02-163 ,3.00, 2.20 , Franco Arcilloso , Goteo ,0.44,68.01,10.82,85.00,95.00,85.12
 CP72-2086 ,3.00, 2.20 , Arcilloso , Goteo ,0.20,150.10,10.72,116.44,130.00,95.71
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.23,79.38,11.34,93.48,119.00,102.55
 RB86-7515 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.46,113.57,11.24,107.60,125.00,87.41
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.21,113.24,10.62,80.71,90.00,87.78
 CG04-10295 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.24,114.69,11.37,142.88,100.00,78.03
 CG02-163 ,1.00, 2.20 , Franco Arcilloso , Goteo ,0.52,113.19,11.18,71.57,88.00,80.08
 CP88-1165 ,5.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.35,103.11,11.87,69.66,60.00,69.43
 CP88-1165 ,4.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.34,103.06,11.90,63.62,60.00,45.18
 CP89-2143 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.32,105.15,11.93,62.41,50.00,63.17
 CP72-2086 ,3.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.60,132.39,11.70,125.76,110.00,97.32
 CP72-2086 ,5.00, 2.20 , Franco Arenoso , Goteo ,0.33,138.72,11.74,82.36,90.00,91.80
 NA56-42 ,3.00, 2.20 , Franco Arenoso , Goteo ,0.55,160.16,11.80,104.81,95.00,69.37
 RB86-7515 ,1.00, 2.20 , Franco Arcillo Arenoso , Goteo ,0.11,92.61,10.52,58.28,55.00,53.89
